S.No,Product Code,Brand Name,Product Name,Price,Original Price (Was Price),Discount Percentage,Offer Price,URL,Category
155,464929349_pink,TOSSIDO,Ethnic Print Cotton Stole,"₹1,443","₹1,899",(24% off),"₹1,424",https://www.ajio.com/tossido-ethnic-print-cotton-stole/p/464929349_pink,Scarves and Stoles
156,464838964_multi,TOSSIDO,Floral Print Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-stole/p/464838964_multi,Scarves and Stoles
157,464838899_multi,TOSSIDO,Floral Print Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-stole/p/464838899_multi,Scarves and Stoles
158,464839087_brown,TOSSIDO,Floral Print Stole,"₹1,443","₹1,899",(24% off),"₹1,424",https://www.ajio.com/tossido-floral-print-stole/p/464839087_brown,Scarves and Stoles
159,464843790_multi,TOSSIDO,Floral Print Chiffon Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-chiffon-stole/p/464843790_multi,Scarves and Stoles
160,464842006_pink,TOSSIDO,Floral Print Chiffon Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-chiffon-stole/p/464842006_pink,Scarves and Stoles
161,464844301_peach,TOSSIDO,Floral Print Chiffon Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-chiffon-stole/p/464844301_peach,Scarves and Stoles
162,464843745_brown,TOSSIDO,Ethnic Print Cotton Stole,"₹1,443","₹1,899",(24% off),"₹1,424",https://www.ajio.com/tossido-ethnic-print-cotton-stole/p/464843745_brown,Scarves and Stoles
163,464838777_blue,TOSSIDO,Floral Print Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-stole/p/464838777_blue,Scarves and Stoles
164,464838309_black,TOSSIDO,Paisley Print Scarfs,"₹1,208","₹1,590",(24% off),"₹1,193",https://www.ajio.com/tossido-paisley-print-scarfs/p/464838309_black,Scarves and Stoles
165,463660314_blue,THE TIE HUB,Solid Scarf,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-solid-scarf/p/463660314_blue,Scarves and Stoles
166,463856606_grey,THE TIE HUB,Woolen Textured Scarves,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-woolen-textured-scarves-/p/463856606_grey,Scarves and Stoles
167,465601006_black,Lindbergh,Acrylic Solid Scarf,"₹1,399","₹1,999",(30% off),"₹1,399",https://www.ajio.com/lindbergh-acrylic-solid-scarf/p/465601006_black,Scarves and Stoles
168,463856591_brown,THE TIE HUB,Woolen Solid Scarves,"₹3,500","₹8,750",(60% off),"₹3,500",https://www.ajio.com/the-tie-hub-woolen-solid-scarves-/p/463856591_brown,Scarves and Stoles
169,463535688_purple,Bruun & Stengade,Textured Regular Scarf,"₹4,999","₹4,999",(0% off),"₹4,999",https://www.ajio.com/bruun--stengade-textured-regular-scarf/p/463535688_purple,Scarves and Stoles
170,463588782_multi,THE TIE HUB,Checked Regular Scarf,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-regular-scarf/p/463588782_multi,Scarves and Stoles
171,463588565_multi,THE TIE HUB,Checked Regular Scarf,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-regular-scarf/p/463588565_multi,Scarves and Stoles
172,463588460_grey,THE TIE HUB,Checked Regular Scarf,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-regular-scarf/p/463588460_grey,Scarves and Stoles
173,463596164_blue,THE TIE HUB,Striped Scarf with Fringes,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-striped-scarf-with-fringes/p/463596164_blue,Scarves and Stoles
174,463852121_grey,THE TIE HUB,Woolen Geometric Print Scarv,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-woolen-geometric-print-scarv/p/463852121_grey,Scarves and Stoles
175,463618365_blue,THE TIE HUB,Textured Regular Scarves,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-textured-regular-scarves/p/463618365_blue,Scarves and Stoles
